,Frame,xmin,xmax,ymin,ymax,label,type
98,006174.jpg,1.0,135.0,99.0,375.0,7.0,trainval
99,006865.jpg,29.0,312.0,16.0,287.0,5.0,trainval
100,005177.jpg,7.0,377.0,179.0,363.0,10.0,trainval
101,001493.jpg,389.0,475.0,77.0,287.0,1.0,trainval
102,001493.jpg,424.0,500.0,90.0,375.0,1.0,trainval
103,001493.jpg,183.0,312.0,82.0,375.0,1.0,trainval
104,001493.jpg,35.0,222.0,33.0,375.0,1.0,trainval
105,001493.jpg,29.0,44.0,223.0,270.0,3.0,trainval
106,007189.jpg,199.0,299.0,67.0,167.0,2.0,trainval
107,007189.jpg,271.0,490.0,167.0,374.0,1.0,trainval
108,003886.jpg,24.0,458.0,79.0,228.0,13.0,trainval
109,009060.jpg,51.0,500.0,67.0,333.0,0.0,trainval
110,009060.jpg,2.0,125.0,105.0,224.0,0.0,trainval
111,005634.jpg,192.0,247.0,202.0,238.0,5.0,test
112,005634.jpg,273.0,435.0,54.0,307.0,1.0,test
113,007557.jpg,167.0,207.0,83.0,172.0,5.0,test
114,006673.jpg,394.0,445.0,42.0,234.0,14.0,trainval
115,006673.jpg,353.0,390.0,81.0,207.0,14.0,trainval
116,006673.jpg,309.0,372.0,52.0,246.0,14.0,trainval
117,006673.jpg,294.0,324.0,110.0,196.0,14.0,trainval
118,006673.jpg,242.0,275.0,70.0,212.0,14.0,trainval
119,006673.jpg,230.0,245.0,117.0,189.0,14.0,trainval
120,006673.jpg,214.0,239.0,112.0,201.0,14.0,trainval
121,006673.jpg,187.0,210.0,114.0,195.0,14.0,trainval
122,006673.jpg,171.0,206.0,107.0,223.0,14.0,trainval
123,006673.jpg,137.0,171.0,105.0,213.0,14.0,trainval
124,006673.jpg,43.0,71.0,224.0,234.0,14.0,trainval
125,006673.jpg,4.0,29.0,231.0,244.0,14.0,trainval
126,003323.jpg,91.0,341.0,120.0,375.0,11.0,test
127,003323.jpg,54.0,121.0,110.0,209.0,4.0,test
128,003323.jpg,47.0,107.0,137.0,241.0,4.0,test
129,003323.jpg,50.0,185.0,233.0,375.0,4.0,test
130,003323.jpg,337.0,428.0,124.0,225.0,4.0,test
131,003323.jpg,342.0,483.0,143.0,363.0,4.0,test
132,003323.jpg,450.0,500.0,250.0,375.0,4.0,test
133,003323.jpg,413.0,487.0,79.0,144.0,8.0,test
134,003323.jpg,281.0,404.0,2.0,341.0,1.0,test
135,003323.jpg,107.0,249.0,135.0,375.0,1.0,test
136,000747.jpg,47.0,440.0,16.0,316.0,0.0,test
137,003205.jpg,28.0,306.0,76.0,376.0,1.0,trainval
138,003205.jpg,11.0,322.0,168.0,447.0,4.0,trainval
139,005083.jpg,13.0,493.0,84.0,287.0,0.0,test
140,006100.jpg,317.0,500.0,144.0,347.0,10.0,trainval
141,006100.jpg,106.0,169.0,53.0,103.0,8.0,trainval
142,006100.jpg,250.0,291.0,107.0,158.0,8.0,trainval
143,006100.jpg,183.0,238.0,128.0,213.0,4.0,trainval
144,006100.jpg,141.0,198.0,163.0,200.0,7.0,trainval
145,005298.jpg,16.0,166.0,100.0,333.0,1.0,trainval
146,005298.jpg,246.0,371.0,43.0,333.0,1.0,trainval
147,002591.jpg,266.0,471.0,50.0,356.0,1.0,test
148,002591.jpg,206.0,329.0,15.0,236.0,1.0,test
149,002591.jpg,14.0,170.0,53.0,356.0,1.0,test
150,002591.jpg,187.0,275.0,2.0,110.0,1.0,test
151,003050.jpg,130.0,257.0,166.0,233.0,15.0,test
152,003050.jpg,141.0,231.0,151.0,191.0,15.0,test
153,003050.jpg,193.0,215.0,75.0,87.0,15.0,test
154,003050.jpg,310.0,334.0,85.0,105.0,15.0,test
155,003050.jpg,463.0,493.0,98.0,116.0,15.0,test
156,003050.jpg,426.0,500.0,258.0,339.0,5.0,test
157,001105.jpg,2.0,335.0,219.0,375.0,11.0,test
158,001105.jpg,203.0,423.0,88.0,374.0,1.0,test
159,001105.jpg,443.0,500.0,42.0,375.0,1.0,test
160,001105.jpg,124.0,142.0,176.0,239.0,3.0,test
161,001105.jpg,83.0,113.0,188.0,254.0,3.0,test
162,001622.jpg,211.0,235.0,299.0,419.0,12.0,trainval
163,001622.jpg,200.0,247.0,238.0,391.0,1.0,trainval
164,001622.jpg,156.0,167.0,253.0,291.0,1.0,trainval
165,001622.jpg,139.0,153.0,252.0,291.0,1.0,trainval
166,001622.jpg,1.0,149.0,247.0,418.0,0.0,trainval
167,001622.jpg,3.0,57.0,350.0,473.0,0.0,trainval
168,001622.jpg,195.0,205.0,265.0,298.0,0.0,trainval
169,006953.jpg,260.0,313.0,184.0,218.0,14.0,trainval
170,004841.jpg,107.0,171.0,200.0,243.0,13.0,trainval
171,004841.jpg,350.0,375.0,108.0,125.0,13.0,trainval
172,004129.jpg,2.0,460.0,34.0,319.0,16.0,trainval
173,007301.jpg,45.0,209.0,29.0,375.0,1.0,test
174,007301.jpg,98.0,463.0,199.0,374.0,1.0,test
175,007301.jpg,149.0,404.0,169.0,310.0,10.0,test
176,007301.jpg,212.0,330.0,205.0,347.0,4.0,test
177,007301.jpg,256.0,498.0,271.0,375.0,4.0,test
178,001030.jpg,36.0,442.0,77.0,265.0,17.0,test
179,000355.jpg,22.0,427.0,36.0,293.0,0.0,trainval
180,002989.jpg,281.0,339.0,149.0,204.0,2.0,trainval
181,002989.jpg,461.0,500.0,195.0,300.0,4.0,trainval
182,002989.jpg,436.0,500.0,163.0,291.0,4.0,trainval
183,002989.jpg,306.0,443.0,213.0,333.0,4.0,trainval
184,002989.jpg,81.0,197.0,178.0,265.0,4.0,trainval
185,002989.jpg,219.0,284.0,163.0,204.0,10.0,trainval
186,002989.jpg,1.0,143.0,193.0,333.0,10.0,trainval
187,005944.jpg,87.0,266.0,46.0,208.0,6.0,test
188,005944.jpg,127.0,181.0,23.0,139.0,1.0,test
189,004673.jpg,52.0,159.0,154.0,308.0,12.0,trainval
190,004673.jpg,80.0,204.0,66.0,270.0,1.0,trainval
191,006937.jpg,24.0,189.0,217.0,418.0,10.0,test
192,006937.jpg,113.0,199.0,129.0,266.0,8.0,test
193,006514.jpg,120.0,267.0,230.0,500.0,1.0,test
194,006514.jpg,133.0,258.0,206.0,453.0,4.0,test
195,006975.jpg,75.0,210.0,202.0,333.0,12.0,test
196,006975.jpg,87.0,244.0,50.0,333.0,1.0,test
197,005611.jpg,93.0,343.0,53.0,319.0,6.0,trainval
198,005611.jpg,163.0,266.0,22.0,199.0,1.0,trainval
199,005668.jpg,2.0,185.0,131.0,373.0,7.0,trainval
200,005668.jpg,167.0,338.0,117.0,373.0,7.0,trainval
201,005668.jpg,139.0,329.0,75.0,223.0,7.0,trainval
202,005668.jpg,293.0,500.0,112.0,324.0,7.0,trainval
203,009710.jpg,43.0,500.0,98.0,375.0,18.0,trainval
204,005665.jpg,235.0,317.0,192.0,305.0,4.0,test
205,005665.jpg,75.0,169.0,152.0,268.0,4.0,test
206,005665.jpg,42.0,112.0,99.0,198.0,4.0,test
207,005665.jpg,96.0,158.0,65.0,147.0,4.0,test
208,005665.jpg,206.0,251.0,55.0,130.0,4.0,test
209,005665.jpg,377.0,479.0,163.0,277.0,4.0,test
210,005665.jpg,409.0,486.0,109.0,203.0,4.0,test
211,005665.jpg,376.0,412.0,30.0,89.0,4.0,test
212,005665.jpg,334.0,371.0,29.0,82.0,4.0,test
213,005665.jpg,288.0,325.0,41.0,97.0,4.0,test
214,005665.jpg,429.0,484.0,33.0,96.0,4.0,test
215,005665.jpg,234.0,273.0,29.0,77.0,4.0,test
216,005665.jpg,252.0,289.0,36.0,95.0,4.0,test
217,005665.jpg,323.0,382.0,68.0,147.0,4.0,test
218,008244.jpg,118.0,500.0,2.0,344.0,17.0,trainval
219,009614.jpg,7.0,188.0,147.0,218.0,0.0,trainval
220,009614.jpg,317.0,499.0,149.0,216.0,0.0,trainval
221,009614.jpg,429.0,500.0,163.0,227.0,0.0,trainval
222,009614.jpg,149.0,203.0,156.0,210.0,0.0,trainval
223,009614.jpg,241.0,429.0,113.0,255.0,1.0,trainval
224,009614.jpg,51.0,243.0,199.0,319.0,1.0,trainval
225,000793.jpg,289.0,316.0,100.0,183.0,1.0,trainval
226,000793.jpg,241.0,270.0,111.0,180.0,1.0,trainval
227,000793.jpg,218.0,236.0,107.0,178.0,1.0,trainval
228,000793.jpg,402.0,467.0,67.0,259.0,1.0,trainval
229,000793.jpg,65.0,84.0,110.0,161.0,1.0,trainval
230,000793.jpg,96.0,114.0,107.0,159.0,1.0,trainval
231,000793.jpg,100.0,190.0,78.0,282.0,1.0,trainval
232,000793.jpg,273.0,295.0,103.0,182.0,1.0,trainval
233,000793.jpg,151.0,310.0,160.0,280.0,12.0,trainval
234,000793.jpg,2.0,51.0,80.0,135.0,19.0,trainval
235,000385.jpg,154.0,281.0,194.0,372.0,4.0,test
236,000385.jpg,373.0,500.0,173.0,322.0,4.0,test
237,000475.jpg,213.0,343.0,153.0,259.0,15.0,test
238,000475.jpg,328.0,363.0,85.0,133.0,6.0,test
239,000475.jpg,365.0,400.0,82.0,131.0,6.0,test
240,000475.jpg,1.0,25.0,101.0,160.0,15.0,test
241,003701.jpg,159.0,222.0,99.0,154.0,1.0,test
242,003701.jpg,226.0,279.0,99.0,157.0,1.0,test
243,003701.jpg,279.0,336.0,115.0,156.0,1.0,test
244,003701.jpg,198.0,247.0,127.0,156.0,1.0,test
245,003701.jpg,475.0,500.0,252.0,375.0,1.0,test
246,003701.jpg,43.0,156.0,263.0,337.0,0.0,test
247,004062.jpg,1.0,283.0,79.0,284.0,7.0,test
248,007785.jpg,249.0,485.0,215.0,347.0,10.0,test
249,007785.jpg,77.0,177.0,206.0,372.0,4.0,test
250,007785.jpg,91.0,256.0,135.0,359.0,1.0,test
251,007785.jpg,380.0,472.0,214.0,375.0,4.0,test
252,007785.jpg,245.0,402.0,234.0,375.0,4.0,test
253,004850.jpg,245.0,405.0,92.0,195.0,0.0,trainval
254,005462.jpg,1.0,320.0,33.0,440.0,16.0,test
255,003358.jpg,1.0,263.0,15.0,471.0,19.0,test
256,000081.jpg,235.0,462.0,158.0,282.0,10.0,trainval
257,000081.jpg,8.0,220.0,166.0,322.0,10.0,trainval
258,000081.jpg,198.0,341.0,156.0,231.0,1.0,trainval
259,000081.jpg,349.0,451.0,145.0,266.0,1.0,trainval
260,000081.jpg,61.0,170.0,162.0,333.0,1.0,trainval
261,000081.jpg,29.0,73.0,166.0,213.0,1.0,trainval
262,000081.jpg,298.0,433.0,246.0,333.0,1.0,trainval
263,000081.jpg,196.0,332.0,215.0,330.0,1.0,trainval
264,000081.jpg,270.0,324.0,298.0,333.0,1.0,trainval
265,003543.jpg,210.0,367.0,60.0,189.0,14.0,test
266,003543.jpg,357.0,403.0,143.0,184.0,14.0,test
267,003543.jpg,159.0,178.0,55.0,81.0,14.0,test
268,003543.jpg,1.0,173.0,85.0,374.0,14.0,test
269,003543.jpg,7.0,38.0,55.0,134.0,1.0,test
270,003543.jpg,54.0,114.0,56.0,264.0,1.0,test
271,003543.jpg,112.0,138.0,63.0,118.0,1.0,test
272,002097.jpg,93.0,496.0,3.0,279.0,1.0,test
273,003192.jpg,5.0,230.0,30.0,288.0,8.0,test
274,003192.jpg,233.0,489.0,36.0,284.0,8.0,test
275,003372.jpg,210.0,277.0,135.0,186.0,13.0,test
276,000865.jpg,300.0,397.0,167.0,268.0,11.0,trainval
277,000865.jpg,407.0,465.0,167.0,252.0,4.0,trainval
278,000865.jpg,344.0,414.0,172.0,272.0,4.0,trainval
279,000865.jpg,378.0,441.0,170.0,261.0,4.0,trainval
280,000865.jpg,210.0,332.0,251.0,375.0,4.0,trainval
281,000865.jpg,73.0,144.0,160.0,213.0,8.0,trainval
282,000865.jpg,334.0,344.0,160.0,182.0,3.0,trainval
283,000865.jpg,190.0,337.0,102.0,375.0,1.0,trainval
284,000865.jpg,3.0,124.0,129.0,294.0,1.0,trainval
285,007473.jpg,2.0,369.0,132.0,417.0,8.0,test
286,005678.jpg,43.0,475.0,59.0,314.0,9.0,test
287,005678.jpg,168.0,500.0,1.0,163.0,0.0,test
288,008899.jpg,80.0,410.0,46.0,339.0,6.0,test
289,008899.jpg,222.0,335.0,18.0,206.0,1.0,test
290,000496.jpg,457.0,500.0,217.0,338.0,11.0,trainval
291,000496.jpg,419.0,482.0,210.0,319.0,4.0,trainval
292,002211.jpg,13.0,61.0,305.0,380.0,1.0,test
293,002211.jpg,2.0,57.0,344.0,440.0,1.0,test
294,002211.jpg,57.0,113.0,319.0,399.0,1.0,test
295,002211.jpg,61.0,119.0,323.0,436.0,1.0,test
296,002211.jpg,150.0,175.0,312.0,341.0,1.0,test
297,002211.jpg,165.0,201.0,303.0,368.0,1.0,test
298,002211.jpg,195.0,234.0,307.0,369.0,1.0,test
299,002211.jpg,189.0,247.0,344.0,454.0,1.0,test
300,002211.jpg,192.0,313.0,334.0,497.0,1.0,test
301,002211.jpg,297.0,375.0,322.0,500.0,1.0,test
302,002211.jpg,135.0,184.0,337.0,447.0,1.0,test
303,005178.jpg,91.0,482.0,33.0,375.0,2.0,test
304,001502.jpg,172.0,323.0,65.0,343.0,1.0,test
305,001502.jpg,106.0,386.0,131.0,381.0,9.0,test
306,007849.jpg,217.0,242.0,81.0,101.0,2.0,test
307,007849.jpg,247.0,269.0,86.0,109.0,2.0,test
308,007849.jpg,194.0,216.0,81.0,107.0,2.0,test
309,007849.jpg,100.0,134.0,235.0,281.0,2.0,test
310,007849.jpg,362.0,428.0,89.0,169.0,1.0,test
311,007849.jpg,379.0,429.0,166.0,280.0,1.0,test
312,007849.jpg,414.0,454.0,138.0,275.0,1.0,test
313,007849.jpg,436.0,473.0,110.0,239.0,1.0,test
314,009397.jpg,1.0,89.0,163.0,240.0,2.0,test
315,009397.jpg,105.0,190.0,188.0,286.0,4.0,test
316,009397.jpg,416.0,500.0,181.0,304.0,10.0,test
317,003477.jpg,98.0,259.0,115.0,351.0,4.0,trainval
318,008272.jpg,302.0,500.0,4.0,375.0,1.0,trainval
319,008272.jpg,1.0,261.0,3.0,375.0,1.0,trainval
320,008272.jpg,203.0,366.0,239.0,337.0,7.0,trainval
321,008272.jpg,193.0,235.0,89.0,173.0,4.0,trainval
322,003848.jpg,11.0,482.0,21.0,161.0,17.0,trainval
323,000638.jpg,52.0,324.0,303.0,500.0,1.0,test
324,000638.jpg,1.0,355.0,24.0,323.0,16.0,test
325,003120.jpg,223.0,281.0,162.0,209.0,2.0,trainval
326,003120.jpg,374.0,500.0,280.0,375.0,11.0,trainval
327,003120.jpg,401.0,434.0,268.0,307.0,4.0,trainval
328,003120.jpg,169.0,251.0,241.0,335.0,4.0,trainval
329,003120.jpg,13.0,159.0,214.0,327.0,10.0,trainval
330,007429.jpg,16.0,310.0,228.0,481.0,0.0,test
331,004225.jpg,2.0,284.0,2.0,296.0,14.0,test
332,004225.jpg,86.0,180.0,179.0,274.0,1.0,test
333,004225.jpg,194.0,332.0,1.0,111.0,14.0,test
334,008069.jpg,1.0,46.0,132.0,292.0,1.0,trainval
335,008069.jpg,58.0,127.0,101.0,180.0,1.0,trainval
336,008069.jpg,111.0,156.0,131.0,184.0,1.0,trainval
337,008069.jpg,192.0,241.0,111.0,276.0,1.0,trainval
338,008069.jpg,213.0,289.0,160.0,314.0,1.0,trainval
339,008069.jpg,102.0,172.0,215.0,368.0,1.0,trainval
340,008069.jpg,1.0,46.0,298.0,375.0,1.0,trainval
341,008069.jpg,43.0,104.0,293.0,375.0,1.0,trainval
342,008069.jpg,110.0,154.0,303.0,375.0,1.0,trainval
343,008069.jpg,158.0,220.0,287.0,375.0,1.0,trainval
344,008069.jpg,143.0,198.0,342.0,375.0,1.0,trainval
345,008069.jpg,1.0,290.0,171.0,295.0,6.0,trainval
346,008069.jpg,472.0,500.0,150.0,279.0,1.0,trainval
347,008069.jpg,458.0,500.0,106.0,255.0,1.0,trainval
348,008069.jpg,377.0,450.0,83.0,238.0,1.0,trainval
349,008069.jpg,316.0,411.0,28.0,222.0,6.0,trainval
350,008982.jpg,256.0,426.0,72.0,234.0,2.0,trainval
351,008982.jpg,429.0,488.0,185.0,336.0,3.0,trainval
352,004478.jpg,2.0,142.0,26.0,114.0,0.0,test
353,004478.jpg,37.0,57.0,33.0,71.0,1.0,test
354,004478.jpg,128.0,145.0,23.0,50.0,1.0,test
355,004478.jpg,210.0,227.0,14.0,40.0,1.0,test
356,004478.jpg,135.0,258.0,33.0,78.0,0.0,test
357,004478.jpg,33.0,429.0,39.0,336.0,0.0,test
358,004478.jpg,309.0,336.0,2.0,51.0,1.0,test
359,004478.jpg,259.0,289.0,2.0,66.0,1.0,test
360,008367.jpg,43.0,127.0,42.0,94.0,12.0,test
361,008367.jpg,344.0,410.0,117.0,176.0,12.0,test
362,008367.jpg,409.0,443.0,110.0,171.0,12.0,test
363,008367.jpg,200.0,369.0,211.0,308.0,12.0,test
364,008367.jpg,231.0,400.0,291.0,375.0,12.0,test
365,008367.jpg,120.0,220.0,26.0,286.0,1.0,test
366,008367.jpg,431.0,474.0,136.0,187.0,4.0,test
367,000855.jpg,118.0,258.0,338.0,462.0,19.0,trainval
368,000855.jpg,309.0,344.0,426.0,454.0,12.0,trainval
369,000855.jpg,252.0,262.0,419.0,450.0,1.0,trainval
370,000855.jpg,61.0,109.0,404.0,436.0,0.0,trainval
371,000855.jpg,41.0,64.0,408.0,430.0,0.0,trainval
372,000855.jpg,26.0,43.0,409.0,427.0,0.0,trainval
373,000855.jpg,11.0,29.0,408.0,424.0,0.0,trainval
374,006648.jpg,293.0,435.0,2.0,334.0,3.0,trainval
375,006648.jpg,3.0,463.0,1.0,332.0,1.0,trainval
376,006648.jpg,372.0,416.0,204.0,285.0,1.0,trainval
377,006648.jpg,312.0,346.0,183.0,283.0,1.0,trainval
378,008281.jpg,1.0,247.0,55.0,500.0,1.0,trainval
379,008281.jpg,154.0,375.0,37.0,498.0,1.0,trainval
380,002547.jpg,195.0,272.0,142.0,284.0,5.0,trainval
381,001674.jpg,90.0,360.0,319.0,375.0,11.0,test
382,001674.jpg,213.0,292.0,287.0,324.0,4.0,test
383,001674.jpg,45.0,110.0,289.0,375.0,4.0,test
384,001674.jpg,132.0,240.0,323.0,375.0,4.0,test
385,001674.jpg,360.0,391.0,298.0,375.0,4.0,test
386,005722.jpg,45.0,391.0,149.0,375.0,6.0,test
387,005722.jpg,206.0,297.0,118.0,374.0,1.0,test
388,001596.jpg,2.0,375.0,2.0,500.0,1.0,test
389,003501.jpg,107.0,398.0,8.0,288.0,0.0,test
390,003501.jpg,259.0,337.0,76.0,342.0,1.0,test
391,003501.jpg,36.0,149.0,84.0,332.0,1.0,test
392,003997.jpg,171.0,447.0,110.0,262.0,0.0,trainval
393,007560.jpg,314.0,482.0,163.0,354.0,7.0,test
394,009725.jpg,4.0,129.0,230.0,353.0,12.0,test
395,001435.jpg,242.0,461.0,232.0,312.0,0.0,test
396,001435.jpg,10.0,249.0,258.0,347.0,0.0,test
397,001435.jpg,12.0,104.0,177.0,209.0,0.0,test
398,001435.jpg,151.0,251.0,184.0,227.0,0.0,test
399,001435.jpg,226.0,343.0,188.0,231.0,0.0,test
400,001435.jpg,294.0,371.0,180.0,206.0,0.0,test
401,001435.jpg,401.0,482.0,172.0,212.0,0.0,test
402,001435.jpg,462.0,491.0,177.0,209.0,0.0,test
403,001435.jpg,221.0,298.0,174.0,190.0,0.0,test
404,001435.jpg,106.0,173.0,174.0,201.0,0.0,test
405,001435.jpg,428.0,442.0,154.0,177.0,1.0,test
406,001435.jpg,441.0,455.0,150.0,172.0,1.0,test
407,001435.jpg,454.0,470.0,153.0,173.0,1.0,test
408,001435.jpg,224.0,235.0,152.0,176.0,1.0,test
409,001435.jpg,210.0,222.0,149.0,174.0,1.0,test
410,001435.jpg,135.0,146.0,171.0,229.0,1.0,test
411,001435.jpg,135.0,147.0,154.0,173.0,1.0,test
412,001435.jpg,146.0,160.0,172.0,199.0,1.0,test
413,001435.jpg,168.0,187.0,170.0,191.0,1.0,test
414,001435.jpg,186.0,206.0,167.0,184.0,1.0,test
415,001435.jpg,217.0,233.0,167.0,185.0,1.0,test
416,001435.jpg,64.0,83.0,160.0,181.0,1.0,test
417,002443.jpg,51.0,333.0,175.0,393.0,7.0,trainval
418,002443.jpg,3.0,286.0,135.0,321.0,1.0,trainval
419,009039.jpg,214.0,340.0,273.0,323.0,13.0,trainval
420,009039.jpg,179.0,210.0,59.0,74.0,13.0,trainval
421,003028.jpg,1.0,499.0,42.0,293.0,13.0,trainval
422,009234.jpg,2.0,316.0,111.0,375.0,16.0,test
423,008174.jpg,41.0,500.0,1.0,320.0,0.0,trainval
424,001061.jpg,323.0,449.0,33.0,128.0,5.0,trainval
425,001061.jpg,320.0,489.0,116.0,375.0,1.0,trainval
426,001061.jpg,1.0,321.0,1.0,375.0,1.0,trainval
427,008957.jpg,1.0,42.0,117.0,267.0,4.0,test
428,008957.jpg,116.0,308.0,68.0,375.0,4.0,test
429,008957.jpg,107.0,244.0,101.0,375.0,1.0,test
430,008957.jpg,220.0,360.0,78.0,375.0,1.0,test
431,008957.jpg,304.0,401.0,50.0,375.0,1.0,test
432,008957.jpg,185.0,240.0,65.0,137.0,1.0,test
433,008657.jpg,2.0,500.0,104.0,375.0,0.0,test
434,001466.jpg,2.0,452.0,114.0,264.0,0.0,trainval
435,002831.jpg,57.0,301.0,64.0,433.0,7.0,test
436,000529.jpg,290.0,500.0,143.0,250.0,14.0,test
